scoring,season,team,strategy,objective,picks,status,remaining_slots
2026_fangraph,2026,12,OCG,12414.580000000002,16,COMPLETE,
2026_fangraph,2026,1,DG,12392.34,16,COMPLETE,
2026_fangraph,2026,2,DG,12099.84,16,COMPLETE,
2026_fangraph,2026,3,DG,11826.66,16,COMPLETE,
2026_fangraph,2026,4,DG,11727.58,16,COMPLETE,
2026_fangraph,2026,5,DG,11726.3,16,COMPLETE,
2026_fangraph,2026,6,DG,11684.099999999999,16,COMPLETE,
2026_fangraph,2026,7,DG,11645.16,16,COMPLETE,
2026_fangraph,2026,11,DG,11642.02,16,COMPLETE,
2026_fangraph,2026,10,DG,11598.0,16,COMPLETE,
2026_fangraph,2026,9,DG,11597.68,16,COMPLETE,
2026_fangraph,2026,8,DG,11584.699999999999,16,COMPLETE,
